Host,Port,Status,LLDP_Peer
192.60.1.245,1/1/1,up,
192.60.1.245,1/1/2,down,
192.60.1.245,1/1/3,down,
192.60.1.245,1/1/4,down,
192.60.1.245,1/1/5,up,
192.60.1.245,1/1/6,down,
192.60.1.245,1/1/7,down,
192.60.1.245,1/1/8,down,
192.60.1.245,1/1/9,down,
192.60.1.245,1/1/10,down,
192.60.1.245,1/1/11,down,
192.60.1.245,1/1/12,down,
192.60.1.245,1/1/13,down,
192.60.1.245,1/1/14,down,
192.60.1.245,1/1/15,down,
192.60.1.245,1/1/16,down,
192.60.1.245,1/1/17,up,
192.60.1.245,1/1/18,down,
192.60.1.245,1/1/19,down,
192.60.1.245,1/1/20,down,
192.60.1.245,1/1/21,up,
192.60.1.245,1/1/22,down,
192.60.1.245,1/1/23,up,
192.60.1.245,1/1/24,down,
192.60.1.245,1/1/25,up,
192.60.1.245,1/1/26,down,
192.60.1.245,1/1/27,up,
192.60.1.245,1/1/28,down,
192.60.1.245,1/1/29,up,
192.60.1.245,1/1/30,down,
192.60.1.245,1/1/31,up,
192.60.1.245,1/1/32,down,
192.60.1.245,1/1/33,down,
192.60.1.245,1/1/34,down,
192.60.1.245,1/1/35,down,
192.60.1.245,1/1/36,down,
192.60.1.245,1/1/37,down,
192.60.1.245,1/1/38,down,
192.60.1.245,1/1/39,down,
192.60.1.245,1/1/40,down,
192.60.1.245,1/1/41,down,
192.60.1.245,1/1/42,down,
192.60.1.245,1/1/43,up,
192.60.1.245,1/1/44,down,
192.60.1.245,1/1/45,up,
192.60.1.245,1/1/46,down,
192.60.1.245,1/1/47,up,
192.60.1.245,1/1/48,up,
192.60.1.245,1/1/49,down,
192.60.1.245,1/1/50,down,
192.60.1.245,1/1/51,down,
192.60.1.245,1/1/52,down,
