IP,MAC,廠牌,庫存名稱,庫存Type,庫存Location,比對狀態
192.60.1.5,00:11:32:66:D0:B1,Synology,FS RackStation,NAS,機房,MAC相符
192.60.1.6,00:11:32:41:7C:DD,Synology,w2 RackStation,NAS,機房,MAC相符
192.60.1.7,BC:97:E1:4B:6F:02,Broadcom,VMware ESXi,Server,機房,MAC相符
192.60.1.17,00:90:E8:5D:2E:39,MOXA,MOXA NPort 5210,SerialServer,機房,MAC相符
192.60.1.20,24:4B:FE:E8:52:0C,ASUS,PAPER101 標籤列印站,Desktop,總務,MAC相符
192.60.1.21,DC:A6:32:8E:17:61,Raspberry Pi,不明-21,Unknown,機房,MAC相符
192.60.1.30,6C:AA:B3:0C:52:B4,Ruckus,不明-30,Server,機房,MAC相符
192.60.1.31,00:0F:0D:2E:67:75,Hunt(監視),MFC-31,Printer,辦公室,MAC相符
192.60.1.32,00:0F:0D:2F:1D:69,Hunt(監視),HP-32,Printer,辦公室,MAC相符
192.60.1.42,E0:10:7F:2B:AD:C0,Ruckus,Axis攝影機-2,Camera,校園,MAC相符
192.60.1.97,00:20:6B:3C:E8:F4,Konica Minolta,Konica C224e-1,Printer,辦公室,MAC相符
192.60.1.98,00:20:6B:FF:98:F5,Konica Minolta,Konica C224e-2,Printer,辦公室,MAC相符
192.60.1.99,00:20:6B:FF:97:0A,Konica Minolta,Konica C224e-3,Printer,辦公室,MAC相符
192.60.1.105,FC:34:97:3C:D6:18,ASUS,不明-105,Unknown,不明,MAC相符
192.60.1.107,C8:7F:54:16:F3:C1,ASUS,ASUS網通設備,Unknown,不明,MAC相符
192.60.1.108,90:6C:AC:5D:3C:38,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.110,74:78:A6:56:98:28,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.111,4C:0F:3E:33:7C:BE,Intel,Intel網卡設備,Unknown,不明,MAC相符
192.60.1.112,00:0C:E6:B9:30:80,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.113,00:0C:E6:BA:94:C0,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.114,00:0C:E6:BA:D4:40,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.115,00:0C:E6:BA:E8:40,"Fortinet, Inc.",,,,庫存無此IP-新增
192.60.1.116,74:78:A6:56:DD:E8,"Fortinet, Inc.",不明-116,Unknown,不明,MAC相符
192.60.1.117,00:0C:E6:BA:6A:80,"Fortinet, Inc.",大辦公室AP,AP,行政大樓,MAC相符
