設備名稱,IP,MAC,交換器,實體埠,類型,位置
FS RackStation,192.60.1.5,00:11:32:66:D0:B1,CX8100-核心,1/1/5,NAS,機房
w2 RackStation,192.60.1.6,00:11:32:41:7C:DD,CX8100-核心,1/1/29,NAS,機房
VMware ESXi,192.60.1.7,BC:97:E1:4B:6F:02,2930F-1,1,Server,機房
MOXA NPort 5210,192.60.1.17,00:90:E8:5D:2E:39,DGS-1510,Port 5,SerialServer,機房
PAPER101 標籤列印站,192.60.1.20,24:4B:FE:E8:52:0C,2930F-2,10,Desktop,總務
不明-21,192.60.1.21,DC:A6:32:8E:17:61,Cisco-9K,Bluetooth0/4,Unknown,機房
不明-30,192.60.1.30,6C:AA:B3:0C:52:B4,Cisco-9K,GigabitEthernet0/0,Server,機房
MFC-31,192.60.1.31,00:0F:0D:2E:67:75,2930F-4,1,Printer,辦公室
HP-32,192.60.1.32,00:0F:0D:2F:1D:69,2930F-4,2,Printer,辦公室
Axis攝影機-2,192.60.1.42,E0:10:7F:2B:AD:C0,(僅見於上聯),-,Camera,校園
Konica C224e-1,192.60.1.97,00:20:6B:3C:E8:F4,Cisco-9K,unrouted VLAN 1003,Printer,辦公室
Konica C224e-2,192.60.1.98,00:20:6B:FF:98:F5,2930F-2,9,Printer,辦公室
Konica C224e-3,192.60.1.99,00:20:6B:FF:97:0A,2930F-4,18,Printer,辦公室
舊多元AP,192.60.1.102,C8:7F:54:16:F2:C8,2930F-2,7,AP,舊多元教室
ASUS-FTP設備,192.60.1.104,24:4B:FE:EA:C9:E6,2930F-4,6,Unknown,不明
ASUS網通設備,192.60.1.107,FC:34:97:3C:D6:18,2930F-1,6,Unknown,不明
192.60.1.109,192.60.1.109,00:0C:E6:BA:D4:40,2930F-1,14,,
Intel網卡設備,192.60.1.111,4C:0F:3E:33:7C:BE,(僅見於上聯),-,Unknown,不明
資源班AP,192.60.1.122,84:39:8F:B3:38:10,2930F-2,18,AP,資源班教室
不明-123,192.60.1.123,CE:61:D4:81:B1:C2,2930F-1,12,Unknown,不明
不明-124,192.60.1.124,04:7C:16:D2:3A:D9,Cisco-9K,GigabitEthernet1/0/4,Unknown,不明
Axis攝影機-1,192.60.1.125,00:0C:E6:BC:78:80,2930F-3,13,Camera,校園
SMAA10_GUARD 警衛勤務電腦,192.60.1.126,F4:4D:30:45:2E:62,DGS-1510,Port 24,Desktop,警衛室
DS925+,192.60.1.127,90:09:D0:8E:B2:58,Cisco-9K,GigabitEthernet1/0/4,NAS,機房
ASUS-Win主機,192.60.1.128,FC:34:97:3C:D6:D9,2930F-4,12,Desktop,不明
ASUS網通設備,192.60.1.129,FC:34:97:3C:D6:3C,2930F-4,20,Unknown,不明
192.60.1.130,192.60.1.130,74:78:A6:56:DD:E8,2930F-1,12,,
192.60.1.131,192.60.1.131,10:7C:61:49:3C:BD,DGS-1510,Port 12,,
192.60.1.132,192.60.1.132,00:0C:E6:BA:94:C0,2930F-1,13,,
192.60.1.133,192.60.1.133,00:0C:E6:BC:5B:C0,(僅見於上聯),-,,
ASUS-Win主機,192.60.1.135,A0:AD:9F:98:15:E9,2930F-1,3,Desktop,不明
VMware-VM,192.60.1.136,00:0C:29:E5:AF:F9,2930F-1,1,VM,機房
Brother印表機,192.60.1.138,B4:22:00:47:F0:46,2930F-3,12,Printer,辦公室
192.60.1.139,192.60.1.139,C8:7F:54:16:F3:1F,2930F-4,11,,
校長室AP,192.60.1.140,84:39:8F:0D:3E:00,(僅見於上聯),-,AP,校長室
4年級AP,192.60.1.141,00:0C:E6:BA:E8:40,2930F-2,19,AP,四年級教室
FortiAP-431F(新),192.60.1.144,00:0C:E6:B9:30:80,(僅見於上聯),-,AP,不明
新多元AP,192.60.1.145,00:0C:E6:CA:D7:B0,(僅見於上聯),-,AP,新多元教室
192.60.1.147,192.60.1.147,00:0C:E6:BB:90:80,2930F-3,15,,
廚房AP,192.60.1.148,90:6C:AC:5D:3C:38,2930F-2,17,AP,廚房
自然教室AP,192.60.1.149,00:0C:E6:BA:6A:80,2930F-2,5,AP,自然教室
192.60.1.150,192.60.1.150,74:78:A6:56:98:28,2930F-3,16,,
Brother印表機-2,192.60.1.151,B4:22:00:4F:C7:71,2930F-1,5,Printer,辦公室
ASUS-Win主機,192.60.1.152,A0:AD:9F:98:53:68,Cisco-9K,GigabitEthernet1/0/7,Desktop,不明
警衛室AP,192.60.1.155,90:6C:AC:5D:3C:C8,DGS-1510,Port 24,AP,警衛室
2年級AP,192.60.1.156,90:6D:05:0D:02:66,2930F-4,10,AP,二年級教室
192.60.1.157,192.60.1.157,C8:7F:54:16:F3:C1,2930F-2,7,,
ACCOUNT 會計室電腦,192.60.1.162,04:D9:F5:BB:61:A4,2930F-1,4,Desktop,會計室
會計室AP,192.60.1.169,74:78:A6:56:88:28,2930F-1,15,AP,會計室
Reco儀器設備,192.60.1.200,00:03:21:12:37:B9,2930F-2,9,Instrument,未知
FUJIFILM C325dw,192.60.1.240,1C:7D:22:62:0D:DC,2930F-3,11,Printer,辦公室
CX8100-48F,192.60.1.245,E8:1C:A5:CD:BF:C0,(僅見於上聯),-,Switch,機房
Aruba 2930F-1,192.60.1.246,F8:60:F0:2B:C6:C0,2930F-1,(本體),Switch,機房
Aruba 2930F-2,192.60.1.247,F8:60:F0:2B:04:40,2930F-2,(本體),Switch,機房
Aruba 2930F-3,192.60.1.248,F8:60:F0:2B:C6:A0,2930F-3,(本體),Switch,機房
DGS-1510 交換器,192.60.1.249,40:9B:CD:D5:6C:C0,DGS-1510,(本體),Switch,機房
PA-1420-介面2,192.60.1.250,58:76:9C:05:CF:76,CX8100-核心,1/1/48,Firewall,機房
Aruba 2930F-4,192.60.1.251,B8:D4:E7:26:2C:E0,2930F-4,(本體),Switch,教室區
Cisco Catalyst,192.60.1.252,D0:09:C8:BA:C1:47,Cisco-9K,(本體),Switch,機房
192.60.1.253,192.60.1.253,04:D5:90:7D:7C:E8,CX8100-核心,1/1/29,,
FortiGate-500E,192.60.1.254,1C:CF:82:86:34:1E,CX8100-核心,1/1/47,Router,機房
